8729,7065
2726,8569
5866,4920
2561,8671
8008,4161
9910,5895
6724,1455
3233,2712
5130,4214
8202,2790
3192,5503
2748,7016
3354,8972
5029,6388
2903,1454
2861,6924
1712,7128
7461,8102
5401,2422
9086,2979
8593,1366
2335,5090
9959,6978
1066,4529
4212,5462
9336,3177
3784,6471
1647,6963
4691,4500
5134,1243
4684,3613
1827,3901
1569,1041
8857,9646
4818,5472
3836,8091
4502,5119
2046,7685
4612,6562
7052,7340
6370,4640
7343,7679
8466,1676
3982,4238
1985,2811
6098,5663
6329,8588
6042,9736
6521,7298
8861,1280
7763,5458
1367,3043
1406,5870
4559,1866
7584,5803
9353,8123
3706,1976
9726,8310
4694,1999
9189,8900
4262,8755
6260,2689
8187,6310
2083,1162
3080,3381
8676,2435
7358,3140
9419,9173
4019,6155
4348,7229
4689,6699
1570,6843
9514,1270
2699,6639
3428,2220
4587,6858
8442,8651
1825,8470
3862,1395
4504,9551
5300,8788
3533,9350
4887,5217
1471,8064
2007,4982
2537,4289
9960,9852
8454,1312
2895,9908
9827,1454
9068,3745
1713,343
1042,5915
6621,5561
7722,6601
2807,2106
7700,9785
9966,5908
9726,3405
4331,5839
